"","year","geo_county","pop","pop_w","pop_b","pop_h","pop_pl","pop_w_pl","pop_b_pl","pop_h_pl"
"676",2008,"polk_county",44147,42839,165,455,3541,3190,51,35
"677",2009,"polk_county",44147,42839,165,455,3541,3190,51,35
"678",2010,"polk_county",44310,43036,131,609,4220,3846,39,117
"679",2011,"polk_county",44249,42950,136,636,4454,4052,48,118
"680",2012,"polk_county",44094,42729,146,658,4595,4209,55,120
"681",2013,"polk_county",43905,42442,141,688,4682,4286,43,151
"682",2014,"polk_county",43698,42126,161,706,4856,4468,43,155
"683",2015,"polk_county",43572,41956,169,735,4407,4090,38,145
"684",2016,"polk_county",43483,41878,170,782,4250,3909,49,159
"685",2017,"polk_county",43328,41758,133,810,4215,3849,38,158
"686",2018,"polk_county",43349,41757,194,818,4190,3837,34,151
"687",2005,"portage_county",68434,64804,257,1316,8637,7419,12,348
"688",2006,"portage_county",68434,64804,257,1316,8637,7419,12,348
"689",2007,"portage_county",68434,64804,257,1316,8637,7419,12,348
"690",2008,"portage_county",68434,64804,257,1316,8637,7419,12,348
"691",2009,"portage_county",68434,64804,257,1316,8637,7419,12,348
"692",2010,"portage_county",69437,65575,261,1748,7924,6840,0,464
"693",2011,"portage_county",69754,65849,256,1834,8402,7580,17,618
"694",2012,"portage_county",70027,66145,214,1883,8945,8067,32,786
"695",2013,"portage_county",70136,66119,363,1935,9137,8171,46,800
"696",2014,"portage_county",70337,66246,469,2000,9861,8827,38,861
"697",2015,"portage_county",70432,66232,434,2073,10095,8952,78,897
"698",2016,"portage_county",70551,66118,488,2082,9454,8244,93,796
"699",2017,"portage_county",70371,65850,504,2142,8757,7645,95,639
"700",2018,"portage_county",70599,65756,512,2224,8427,7306,109,515
"701",2005,"price_county",14564,14217,55,146,1562,1493,37,52
"702",2006,"price_county",14564,14217,55,146,1562,1493,37,52
"703",2007,"price_county",14564,14217,55,146,1562,1493,37,52
"704",2008,"price_county",14564,14217,55,146,1562,1493,37,52
"705",2009,"price_county",14564,14217,55,146,1562,1493,37,52
"706",2010,"price_county",14452,14135,39,227,1665,1578,17,55
"707",2011,"price_county",14276,13952,23,234,1813,1712,18,64
"708",2012,"price_county",14141,13729,37,155,1961,1811,29,58
"709",2013,"price_county",14025,13612,42,173,2184,2032,33,72
"710",2014,"price_county",13888,13469,12,190,1879,1734,2,66
"711",2015,"price_county",13800,13355,48,202,1860,1758,3,95
"712",2016,"price_county",13707,13236,68,207,1724,1612,18,29
"713",2017,"price_county",13566,12990,97,221,1582,1465,28,53
"714",2018,"price_county",13490,12913,102,239,1566,1442,27,59
"715",2005,"racine_county",199147,164400,20598,20007,20887,12392,5729,4047
"716",2006,"racine_county",199147,164400,20598,20007,20887,12392,5729,4047
"717",2007,"racine_county",199147,164400,20598,20007,20887,12392,5729,4047
"718",2008,"racine_county",199147,164400,20598,20007,20887,12392,5729,4047
"719",2009,"racine_county",199147,164400,20598,20007,20887,12392,5729,4047
"720",2010,"racine_county",194736,157571,20930,21155,21734,12424,6028,4304
"721",2011,"racine_county",195029,158233,20995,21846,22085,12499,6591,4125
"722",2012,"racine_county",195024,158827,20736,22474,23892,13709,6912,5016
"723",2013,"racine_county",195045,158205,21038,23028,25333,14250,7439,5802
"724",2014,"racine_county",195039,157494,21375,23487,25174,15016,6422,5809
"725",2015,"racine_county",194895,157544,21574,23900,23768,13915,5964,6089
"726",2016,"racine_county",194873,156176,21450,24266,23751,13845,6251,6148
"727",2017,"racine_county",195101,156503,21450,24763,22623,13365,6089,5262
"728",2018,"racine_county",195398,157639,21852,25142,22913,13830,6335,4451
"729",2005,"richland_county",17991,17622,27,230,2000,1910,6,48
"730",2006,"richland_county",17991,17622,27,230,2000,1910,6,48
"731",2007,"richland_county",17991,17622,27,230,2000,1910,6,48
"732",2008,"richland_county",17991,17622,27,230,2000,1910,6,48
"733",2009,"richland_county",17991,17622,27,230,2000,1910,6,48
"734",2010,"richland_county",18205,17774,33,306,2071,1999,2,55
"735",2011,"richland_county",18144,17664,60,343,1857,1791,0,31
"736",2012,"richland_county",18020,17502,86,366,1975,1861,0,75
"737",2013,"richland_county",17911,17243,144,382,2248,2095,10,93
"738",2014,"richland_county",17842,17167,159,400,2503,2267,8,153
"739",2015,"richland_county",17746,17115,129,390,2609,2323,25,213
"740",2016,"richland_county",17642,16983,139,382,2373,2045,48,188
"741",2017,"richland_county",17626,16925,158,385,2349,2086,51,123
"742",2018,"richland_county",17539,16753,97,393,2377,2036,50,167
"743",2005,"rock_county",158829,143364,7198,9647,16943,12520,2336,2940
"744",2006,"rock_county",158829,143364,7198,9647,16943,12520,2336,2940
"745",2007,"rock_county",158829,143364,7198,9647,16943,12520,2336,2940
"746",2008,"rock_county",158829,143364,7198,9647,16943,12520,2336,2940
"747",2009,"rock_county",158829,143364,7198,9647,16943,12520,2336,2940
"748",2010,"rock_county",159964,143441,7919,11195,19376,13637,3223,3323
"749",2011,"rock_county",160270,143849,7608,11705,20764,14949,3398,3353
"750",2012,"rock_county",160356,144904,6268,12092,21214,15885,2572,3420
"751",2013,"rock_county",160345,144920,5846,12349,22420,16893,2478,3324
"752",2014,"rock_county",160465,144870,5640,12685,23289,17663,2525,4021
"753",2015,"rock_county",160727,144840,5612,12998,23498,18031,2253,4205
"754",2016,"rock_county",160986,143993,5568,13213,23215,17969,1967,4464
"755",2017,"rock_county",161226,143279,7120,13573,22550,16918,2666,4395
"756",2018,"rock_county",161769,142557,7081,13782,21507,16320,2510,4286
"757",2005,"rusk_county",14472,14103,108,147,2258,2174,17,44
"758",2006,"rusk_county",14472,14103,108,147,2258,2174,17,44
"759",2007,"rusk_county",14472,14103,108,147,2258,2174,17,44
"760",2008,"rusk_county",14472,14103,108,147,2258,2174,17,44
"761",2009,"rusk_county",14472,14103,108,147,2258,2174,17,44
"762",2010,"rusk_county",14855,14511,98,155,2380,2305,10,63
"763",2011,"rusk_county",14791,14428,103,164,2471,2377,12,43
"764",2012,"rusk_county",14670,14296,91,172,2530,2430,6,40
"765",2013,"rusk_county",14571,14172,88,188,2673,2517,39,38
"766",2014,"rusk_county",14468,14054,104,206,2542,2366,32,64
"767",2015,"rusk_county",14357,13906,141,217,2252,2093,55,32
"768",2016,"rusk_county",14272,13814,144,229,2225,2061,57,60
"769",2017,"rusk_county",14211,13694,148,252,2118,1928,81,63
"770",2018,"rusk_county",14183,13637,140,259,1962,1774,64,70
"771",2005,"sauk_county",58239,55728,352,1479,4771,4317,33,368
"772",2006,"sauk_county",58239,55728,352,1479,4771,4317,33,368
"773",2007,"sauk_county",58239,55728,352,1479,4771,4317,33,368
"774",2008,"sauk_county",58239,55728,352,1479,4771,4317,33,368
"775",2009,"sauk_county",58239,55728,352,1479,4771,4317,33,368
"776",2010,"sauk_county",60957,57408,454,2301,5672,4797,40,805
"777",2011,"sauk_county",61504,57646,342,2470,5864,4974,24,864
"778",2012,"sauk_county",61953,58210,324,2618,5928,5117,27,823
"779",2013,"sauk_county",62353,58515,297,2787,6647,5616,23,1008
"780",2014,"sauk_county",62681,59171,330,2880,7559,6485,71,1053
"781",2015,"sauk_county",62992,60001,337,2962,7656,6858,78,760
"782",2016,"sauk_county",63317,60137,390,3011,6933,6199,97,752
"783",2017,"sauk_county",63340,59704,444,3060,7062,6435,57,612
"784",2018,"sauk_county",63596,60031,513,3128,6520,6065,75,448
"785",2005,"sawyer_county",16909,13700,12,289,3265,2006,6,137
"786",2006,"sawyer_county",16909,13700,12,289,3265,2006,6,137
"787",2007,"sawyer_county",16909,13700,12,289,3265,2006,6,137
"788",2008,"sawyer_county",16909,13700,12,289,3265,2006,6,137
"789",2009,"sawyer_county",16909,13700,12,289,3265,2006,6,137
"790",2010,"sawyer_county",16615,13268,8,250,3276,1874,0,81
"791",2011,"sawyer_county",16610,13229,31,256,3066,1775,5,69
"792",2012,"sawyer_county",16580,13131,39,267,3169,1857,4,64
"793",2013,"sawyer_county",16542,13082,113,299,3046,1718,34,137
"794",2014,"sawyer_county",16516,12968,119,317,2861,1593,45,109
"795",2015,"sawyer_county",16483,12893,114,341,2673,1592,47,91
"796",2016,"sawyer_county",16438,12771,109,373,2623,1417,36,117
"797",2017,"sawyer_county",16384,12658,109,405,2825,1464,50,124
"798",2018,"sawyer_county",16370,12625,89,427,2760,1424,21,133
"799",2005,"shawano_county",41066,37208,167,795,4622,3757,29,393
"800",2006,"shawano_county",41066,37208,167,795,4622,3757,29,393
"801",2007,"shawano_county",41066,37208,167,795,4622,3757,29,393
"802",2008,"shawano_county",41066,37208,167,795,4622,3757,29,393
"803",2009,"shawano_county",41066,37208,167,795,4622,3757,29,393
"804",2010,"shawano_county",41842,37596,187,869,4872,3943,9,376
"805",2011,"shawano_county",41866,37500,245,908,4618,3685,34,356
"806",2012,"shawano_county",41820,37337,163,919,4663,3796,27,365
"807",2013,"shawano_county",41776,37239,143,964,4704,3865,28,429
"808",2014,"shawano_county",41697,37193,147,997,4706,3850,21,384
"809",2015,"shawano_county",41563,37163,120,1068,4451,3576,41,410
"810",2016,"shawano_county",41384,37041,133,1041,4594,3753,28,403
"811",2017,"shawano_county",41136,36806,119,1079,4618,3671,17,363
"812",2018,"shawano_county",41009,36549,154,1119,4071,3212,10,238
"813",2005,"sheboygan_county",114122,103423,1577,5639,8484,6565,296,2062
"814",2006,"sheboygan_county",114122,103423,1577,5639,8484,6565,296,2062
"815",2007,"sheboygan_county",114122,103423,1577,5639,8484,6565,296,2062
"816",2008,"sheboygan_county",114122,103423,1577,5639,8484,6565,296,2062
"817",2009,"sheboygan_county",114122,103423,1577,5639,8484,6565,296,2062
"818",2010,"sheboygan_county",115328,103839,1885,5956,9342,6982,475,2162
"819",2011,"sheboygan_county",115401,104665,1756,6154,9153,7760,326,1684
"820",2012,"sheboygan_county",115377,104972,1675,6300,9805,8141,362,1934
"821",2013,"sheboygan_county",115235,104703,1701,6464,10649,8513,389,2148
"822",2014,"sheboygan_county",115168,104283,1720,6612,10430,8113,383,1777
"823",2015,"sheboygan_county",115226,103922,1644,6777,10348,8122,353,1553
"824",2016,"sheboygan_county",115269,103755,1760,6888,9942,7766,299,1507
"825",2017,"sheboygan_county",115094,102914,1880,7085,9153,7381,190,1250
"826",2018,"sheboygan_county",115205,102818,2129,7168,8540,6813,172,1027
"827",2005,"st._croix_county",80550,77587,615,1102,4663,4276,107,224
"828",2006,"st._croix_county",80550,77587,615,1102,4663,4276,107,224
"829",2007,"st._croix_county",80550,77587,615,1102,4663,4276,107,224
"830",2008,"st._croix_county",80550,77587,615,1102,4663,4276,107,224
"831",2009,"st._croix_county",80550,77587,615,1102,4663,4276,107,224
"832",2010,"st._croix_county",82636,79425,679,1525,5267,4923,115,340
"833",2011,"st._croix_county",83657,80249,710,1621,5867,5287,123,384
"834",2012,"st._croix_county",84363,80991,660,1677,6222,5534,81,441
"835",2013,"st._croix_county",84912,81591,653,1745,6405,5686,92,486
"836",2014,"st._croix_county",85442,82084,627,1821,5784,5058,105,475
"837",2015,"st._croix_county",86118,82800,633,1873,5502,4751,122,443
"838",2016,"st._croix_county",86726,83534,703,1891,4851,4314,107,114
"839",2017,"st._croix_county",87142,83819,758,1972,4103,3698,85,69
"840",2018,"st._croix_county",87917,84262,672,2023,3874,3619,97,65
"841",2005,"taylor_county",19324,18904,20,206,2290,2214,4,57
"842",2006,"taylor_county",19324,18904,20,206,2290,2214,4,57
"843",2007,"taylor_county",19324,18904,20,206,2290,2214,4,57
"844",2008,"taylor_county",19324,18904,20,206,2290,2214,4,57
"845",2009,"taylor_county",19324,18904,20,206,2290,2214,4,57
"846",2010,"taylor_county",20557,20179,12,270,2510,2456,4,48
"847",2011,"taylor_county",20615,20234,32,297,2540,2485,4,56
"848",2012,"taylor_county",20631,20252,65,324,2759,2675,12,55
"849",2013,"taylor_county",20633,20276,84,334,2827,2744,10,70
"850",2014,"taylor_county",20596,20246,79,341,2626,2555,7,96
"851",2015,"taylor_county",20569,20116,100,342,2527,2440,5,107
"852",2016,"taylor_county",20521,20056,77,358,2511,2415,4,84
"853",2017,"taylor_county",20344,19889,94,368,2190,2113,0,71
"854",2018,"taylor_county",20356,19841,101,404,2009,1904,0,62
"855",2005,"trempealeau_county",27675,26789,91,611,2764,2525,5,230
"856",2006,"trempealeau_county",27675,26789,91,611,2764,2525,5,230
"857",2007,"trempealeau_county",27675,26789,91,611,2764,2525,5,230
"858",2008,"trempealeau_county",27675,26789,91,611,2764,2525,5,230
"859",2009,"trempealeau_county",27675,26789,91,611,2764,2525,5,230
"860",2010,"trempealeau_county",28523,27140,108,1274,3212,2784,32,445
"861",2011,"trempealeau_county",28668,27274,108,1436,3370,3038,33,396
"862",2012,"trempealeau_county",28853,27434,76,1615,3382,2968,22,452
"863",2013,"trempealeau_county",29098,27713,110,1732,3386,2911,43,487
"864",2014,"trempealeau_county",29274,27707,125,1824,3469,2797,60,636
"865",2015,"trempealeau_county",29412,27493,137,1941,3078,2509,30,494
"866",2016,"trempealeau_county",29521,27543,124,2074,2804,2262,25,433
"867",2017,"trempealeau_county",29510,27328,143,2247,2605,2204,50,309
"868",2018,"trempealeau_county",29438,27192,154,2340,2480,2170,45,238
"869",2005,"vernon_county",28988,28463,67,313,4351,4209,42,87
"870",2006,"vernon_county",28988,28463,67,313,4351,4209,42,87
"871",2007,"vernon_county",28988,28463,67,313,4351,4209,42,87
"872",2008,"vernon_county",28988,28463,67,313,4351,4209,42,87
"873",2009,"vernon_county",28988,28463,67,313,4351,4209,42,87
"874",2010,"vernon_county",29460,28834,67,339,3950,3702,34,52
"875",2011,"vernon_county",29630,28899,89,368,4266,4016,30,90
"876",2012,"vernon_county",29827,29078,96,398,4480,4247,26,138
"877",2013,"vernon_county",30002,29231,112,425,4287,4061,16,146
"878",2014,"vernon_county",30124,29338,118,448,4721,4427,25,167
"879",2015,"vernon_county",30279,29459,152,467,4757,4524,39,173
"880",2016,"vernon_county",30442,29612,141,463,4882,4679,18,168
"881",2017,"vernon_county",30378,29527,135,476,4966,4753,34,131
"882",2018,"vernon_county",30516,29680,79,476,4995,4814,22,134
"883",2005,"vilas_county",21846,19358,68,294,2316,1588,0,61
"884",2006,"vilas_county",21846,19358,68,294,2316,1588,0,61
"885",2007,"vilas_county",21846,19358,68,294,2316,1588,0,61
"886",2008,"vilas_county",21846,19358,68,294,2316,1588,0,61
"887",2009,"vilas_county",21846,19358,68,294,2316,1588,0,61
"888",2010,"vilas_county",21750,19137,116,225,2565,1780,32,40
"889",2011,"vilas_county",21637,18949,106,245,2759,1964,31,53
"890",2012,"vilas_county",21489,18789,184,277,2973,2013,86,24
"891",2013,"vilas_county",21401,18643,99,301,2807,1842,29,31
"892",2014,"vilas_county",21368,18531,102,341,3033,1992,32,56
"893",2015,"vilas_county",21355,18487,85,379,3047,2057,0,59
"894",2016,"vilas_county",21373,18471,59,430,3098,2088,0,39
"895",2017,"vilas_county",21465,18593,54,474,3240,2220,0,80
"896",2018,"vilas_county",21593,18733,81,534,2910,2072,0,59
"897",2005,"walworth_county",100069,93681,733,8853,10578,9492,187,1651
"898",2006,"walworth_county",100069,93681,733,8853,10578,9492,187,1651
"899",2007,"walworth_county",100069,93681,733,8853,10578,9492,187,1651
"900",2008,"walworth_county",100069,93681,733,8853,10578,9492,187,1651
"901",2009,"walworth_county",100069,93681,733,8853,10578,9492,187,1651
"902",2010,"walworth_county",101735,95283,997,9832,11602,10335,324,2474
"903",2011,"walworth_county",102147,95372,1041,10204,11744,10332,330,2399
"904",2012,"walworth_county",102310,95486,982,10526,12674,11109,279,2623
"905",2013,"walworth_county",102619,96303,925,10807,13306,11798,226,2651
"906",2014,"walworth_county",102920,96486,1004,11020,13570,12195,217,2593
"907",2015,"walworth_county",103039,96363,1043,11228,13499,12009,300,2233
"908",2016,"walworth_county",103021,96192,1091,11224,12885,11404,335,2206
"909",2017,"walworth_county",102917,96362,1172,11373,12405,11042,338,2231
"910",2018,"walworth_county",103013,96114,1037,11372,11689,10182,301,1964
"911",2005,"washburn_county",16583,16041,157,185,2009,1948,0,7
"912",2006,"washburn_county",16583,16041,157,185,2009,1948,0,7
"913",2007,"washburn_county",16583,16041,157,185,2009,1948,0,7
"914",2008,"washburn_county",16583,16041,157,185,2009,1948,0,7
"915",2009,"washburn_county",16583,16041,157,185,2009,1948,0,7
"916",2010,"washburn_county",16001,15413,114,67,1967,1894,0,6
"917",2011,"washburn_county",15965,15477,83,202,1897,1831,0,23
"918",2012,"washburn_county",15893,15347,53,215,2015,1907,0,56
"919",2013,"washburn_county",15842,15231,70,230,2142,1986,9,107
"920",2014,"washburn_county",15785,15111,73,241,2020,1879,24,90
"921",2015,"washburn_county",15700,14999,84,251,2022,1849,25,81
"922",2016,"washburn_county",15685,14989,82,255,1976,1786,25,93
"923",2017,"washburn_county",15638,14995,82,267,2000,1852,36,58
"924",2018,"washburn_county",15689,14994,68,279,2050,1852,30,77
"925",2005,"washington_county",128046,123603,1051,2529,6689,6293,57,283
"926",2006,"washington_county",128046,123603,1051,2529,6689,6293,57,283
"927",2007,"washington_county",128046,123603,1051,2529,6689,6293,57,283
"928",2008,"washington_county",128046,123603,1051,2529,6689,6293,57,283
"929",2009,"washington_county",128046,123603,1051,2529,6689,6293,57,283
"930",2010,"washington_county",130206,125600,1100,3078,6970,6558,153,434
"931",2011,"washington_county",131190,126409,1284,3247,6899,6504,146,513
"932",2012,"washington_county",131840,126726,1321,3391,7035,6477,168,684
"933",2013,"washington_county",132186,127128,1256,3561,8240,7611,196,891
"934",2014,"washington_county",132526,127150,1392,3722,8093,7342,199,1045
"935",2015,"washington_county",132921,127321,1377,3853,7375,6705,189,687
"936",2016,"washington_county",133422,127480,1447,3966,7486,6816,177,616
"937",2017,"washington_county",133967,127937,1514,4127,7320,6815,90,463
"938",2018,"washington_county",134535,127736,1647,4181,6465,5707,283,466
"939",2005,"waukesha_county",378848,356641,5240,13172,15248,13546,911,1712
"940",2006,"waukesha_county",378848,356641,5240,13172,15248,13546,911,1712
"941",2007,"waukesha_county",378848,356641,5240,13172,15248,13546,911,1712
"942",2008,"waukesha_county",378848,356641,5240,13172,15248,13546,911,1712
"943",2009,"waukesha_county",378848,356641,5240,13172,15248,13546,911,1712
"944",2010,"waukesha_county",386130,362765,4591,14895,16865,15007,794,2402
"945",2011,"waukesha_county",388125,364113,4826,15547,17974,15558,772,2295
"946",2012,"waukesha_county",389740,365185,4949,16200,19145,16578,750,2213
"947",2013,"waukesha_county",391200,365488,5067,16752,20818,17606,1079,2786
"948",2014,"waukesha_county",392511,365554,5121,17225,21690,18010,1456,2813
"949",2015,"waukesha_county",393873,365833,5605,17660,20433,17004,1479,2521
"950",2016,"waukesha_county",395377,366591,5709,17775,20167,16798,1471,2315
"951",2017,"waukesha_county",396731,367228,6000,18194,19634,16311,1439,2285
"952",2018,"waukesha_county",398879,368232,6400,18469,19190,15974,1375,2151
"953",2005,"waupaca_county",51914,50547,99,1000,5021,4748,17,165
"954",2006,"waupaca_county",51914,50547,99,1000,5021,4748,17,165
"955",2007,"waupaca_county",51914,50547,99,1000,5021,4748,17,165
"956",2008,"waupaca_county",51914,50547,99,1000,5021,4748,17,165
"957",2009,"waupaca_county",51914,50547,99,1000,5021,4748,17,165
"958",2010,"waupaca_county",52533,51226,303,1210,5376,5094,6,218
"959",2011,"waupaca_county",52552,51163,328,1259,5237,4924,25,183
"960",2012,"waupaca_county",52377,51003,278,1302,5344,5050,23,239
"961",2013,"waupaca_county",52300,50806,312,1368,5363,4945,29,219
"962",2014,"waupaca_county",52212,50687,347,1433,5259,4949,29,192
"963",2015,"waupaca_county",52125,50515,230,1477,5232,4824,39,275
"964",2016,"waupaca_county",51974,50292,223,1497,5327,4826,66,257
"965",2017,"waupaca_county",51651,49870,240,1548,5506,4886,96,233
"966",2018,"waupaca_county",51444,49559,291,1572,5303,4798,68,238
"967",2005,"waushara_county",24660,23357,478,1282,2947,2823,10,306
"968",2006,"waushara_county",24660,23357,478,1282,2947,2823,10,306
"969",2007,"waushara_county",24660,23357,478,1282,2947,2823,10,306
"970",2008,"waushara_county",24660,23357,478,1282,2947,2823,10,306
"971",2009,"waushara_county",24660,23357,478,1282,2947,2823,10,306
"972",2010,"waushara_county",24631,23423,482,1220,3054,2967,6,242
"973",2011,"waushara_county",24614,23336,478,1292,3091,2911,68,246
"974",2012,"waushara_county",24565,23301,459,1366,2857,2675,70,196
"975",2013,"waushara_county",24483,23153,462,1428,2681,2510,82,168
"976",2014,"waushara_county",24409,23035,464,1475,2599,2340,52,209
"977",2015,"waushara_county",24321,22966,447,1514,2385,2123,50,230
"978",2016,"waushara_county",24238,22695,383,1506,2646,2295,45,316
"979",2017,"waushara_county",24170,22545,404,1548,2538,2228,23,347
"980",2018,"waushara_county",24116,22425,435,1524,2580,2241,10,405
"981",2005,"winnebago_county",161386,151245,2442,4831,14879,13475,186,750
"982",2006,"winnebago_county",161386,151245,2442,4831,14879,13475,186,750
"983",2007,"winnebago_county",161386,151245,2442,4831,14879,13475,186,750
"984",2008,"winnebago_county",161386,151245,2442,4831,14879,13475,186,750
"985",2009,"winnebago_county",161386,151245,2442,4831,14879,13475,186,750
"986",2010,"winnebago_county",165032,153769,2692,5344,16297,14570,421,746
"987",2011,"winnebago_county",166033,154734,2815,5583,17460,15329,475,1151
"988",2012,"winnebago_county",166984,155527,2894,5793,18067,15835,676,1135
"989",2013,"winnebago_county",167860,156218,2913,6001,19475,17057,626,1052
"990",2014,"winnebago_county",168413,156006,3077,6193,19961,17370,633,1588
"991",2015,"winnebago_county",169004,156404,3450,6451,19209,16762,706,1731
"992",2016,"winnebago_county",169487,156765,3559,6510,19573,16836,1045,1584
"993",2017,"winnebago_county",169540,156698,3602,6654,19750,17041,1012,1569
"994",2018,"winnebago_county",169926,156571,3829,6789,19184,16562,1165,1325
"995",2005,"wood_county",74023,70910,329,991,5631,5224,50,246
"996",2006,"wood_county",74023,70910,329,991,5631,5224,50,246
"997",2007,"wood_county",74023,70910,329,991,5631,5224,50,246
"998",2008,"wood_county",74023,70910,329,991,5631,5224,50,246
"999",2009,"wood_county",74023,70910,329,991,5631,5224,50,246
"1000",2010,"wood_county",74601,71420,367,1477,6163,5575,91,333
"1001",2011,"wood_county",74641,71432,363,1560,7385,6794,94,348
"1002",2012,"wood_county",74591,71322,359,1649,7399,6809,98,365
"1003",2013,"wood_county",74469,71067,320,1756,8102,7408,72,309
"1004",2014,"wood_county",74261,70690,364,1842,8216,7517,109,406
"1005",2015,"wood_county",74012,70309,394,1948,7996,7437,80,341
"1006",2016,"wood_county",73621,69994,522,1962,7715,7185,101,410
"1007",2017,"wood_county",73427,69364,484,2054,8037,7446,87,428
"1008",2018,"wood_county",73274,69042,444,2122,7488,6966,120,447
